order=',a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
_a: (u)|(A)
_leaned: l(E)nd
_leaning: l(E):n(1)ng
_leans: l(E)nz
_learn: l(3)n
_learned: l(3)nd
_learning: l(3):n(1)ng
_learns: l(3)ns
_learnt: l(3)nt
_least: l(E)st
_leave: l(E)v
_leaved: l(E)vd
_leaves: l(E)vz
_leaving: l(E):v(1)ng
_led: l(e)d
_left: l(e)ft
_lefts: l(e)fts
_leg: l(e)g
_legal: l(E):g(0)l
_legals: l(E):g(0)lz
_legislation: l(e):j(i):sl(A):sh(i)n
_legs: l(e)gz
_lemme: l(e):m(E)
_length: l(Ang)th|l(e)ngth
_lengths: l(Ang)ths
_less: l(e)s
_lesser: l(e):s(3)
_lesson: l(e):s(i)n
_lessons: l(e):s(i)nz
_let: l(e)t
_let's: l(e)ts
_letter: l(e):d(3)
_lettered: l(e):d(3)d
_letters: l(e):d(3)z
_level: l(e):v(0)l
_leveled: l(e):v(0)ld
_levels: l(e):v(0)lz
_liar: l(I):(3)
_liberal: l(i):br(0)l
_liberals: l(i):br(0)lz
_libraries: l(I):br(A)r:r(E)z
_library: l(I):br(A)r:r(E)
_librarys: l(I):br(A)r:r(E)z
_lie: l(I)
_lied: l(I)d
_lies: l(I)z
_life: l(I)f
_lift: l(i)ft
_lifted: l(i)f:t(i)d
_lifting: l(i)f:t(1)ng
_lifts: l(i)fts
_light: l(I)t
_lighted: l(I):t(i)d
_lighter: l(I):d(3)
_lightest: l(I):d(i)st
_lightning: l(I)t:n(1)ng
_lights: l(I)ts
_like: l(I)k
_liked: l(I)kt
_likelihood: l(I)k:l(E):h(6)d
_likely: l(I)k:l(E)
_likes: l(I)ks
_liking: l(I):k(1)ng
_limit: l(i):m(i)t
_limited: l(i):m(i):t(i)d
_limiter: l(i):m(i):t(3)
_limiting: l(i):m(i):t(1)ng
_limits: l(i):m(i)ts
_line: l(I)n
_lined: l(I)nd
_lines: l(I)nz
_lining: l(I):n(1)ng
_link: l(1)nk
_linked: l(1)nkt
_linking: l(1)ng:k(1)ng
_links: l(1)nks
_lip: l(i)p
_lips: l(i)ps
_list: l(i)st
_listed: l(i):st(i)d
_listen: l(i):s(i)n
_listened: l(i):s(i)nd
_listens: l(i):s(i)ns
_lists: l(i)sts
_literature: l(i):dd(3):(u):ch(3)
_little: l(i):dd(0)l
_littler: l(i):dd(0)l:l(3)
_live: l(i)v
_lived: l(i)vd
_lives: l(I)vz
_living: l(i):v(1)ng
_loan: l(O)n
_loaned: l(O)nd
_loaning: l(O):n(1)ng
_loans: l(O)ns
_local: l(O):k(0)l
_locals: l(O):k(0)ls
_locate: l(O):k(A)t
_located: l(O):k(A):d(i)d
_locates: l(O):k(A)ts
_locating: l(O):k(A):d(1)ng
_location: l(O):k(A):sh(i)n
_locations: l(O):k(A):sh(i)ns
_locked: l(9)kt
_long: l(Ang)|l(a)ng
_longer: l(a)n:g(3)
_longest: l(a)n:g(i)st
_longs: l(Ang)z|l(a)ngz
_look: l(6)k
_looked: l(6)kt
_looking: l(6):k(1)ng
_looks: l(6)ks
_lose: l(o)s
_loser: l(o):z(3)
_loses: l(o):z(i)z
_losing: l(o):z(1)ng
_loss: l(9)s
_losses: l(9):z(i)z
_lost: l(9)st
_lot: l(9)t
_lots: l(9)ts
_loudly: l(8)d:l(E)
_love: l(u)v
_loved: l(u)vd
_loves: l(u)vz
_low: l(O)
_lower: l(O):(3)
_lowest: l(O):(i)st
_lows: l(O)z
_luck: l(u)k
_luckily: l(u):k(u):l(E)
_lucky: l(u):k(E)
_lunch: l(u)nch
_lunches: l(u)n:ch(i)z
_lungs: l(u)ngz
_lying: l(I):(1)ng
_machine: m(u):sh(E)n
_machines: m(u):sh(E)nz
_mad: m(@)d
_made: m(A)d
_magazine: m(@):g(u):z(i)n
_magazines: m(@):g(u):z(i)nz
_magic: m(@):j(i)k
_main: m(A)n
_mains: m(A)nz
_maintain: m(A)n:t(A)n
_maintained: m(A)n:t(A)nd
_maintaining: m(A)n:t(A):n(1)ng
_maintains: m(A)n:t(A)nz
_major: m(A):j(3)
_majorities: m(u):j(0)r:r(i):d(E)z
_majority: m(u):j(0)r:r(i):d(E)
_majoritys: m(u):j(0)r:r(i):d(E)z
_majors: m(A):j(3)z
_make: m(A)k
_makes: m(A)ks
_making: m(A):k(1)ng
_male: m(A)l
_males: m(A)lz
_mama: m(a):m(u)
_man: m(&)n
_manage: m(&)n:(i)j
_managed: m(&)n:(i)jd
_management: m(&)n:(i)j:m(i)nt
_manager: m(&)n:(i):j(3)
_managers: m(&)n:(i):j(3)z
_manages: m(&)n:(i):j(i)z
_managing: m(&)n:(i):j(1)ng
_manga: m(a)n:g(u)
_manner: m(&)n:(3)
_manners: m(&)n:(3)z
_many: m(e):n(E)
_map: m(@)p
_mapped: m(@)pt
_mapping: m(@):p(1)ng
_maps: m(@)ps
_mark: m(a)rk
_marked: m(a)rkt
_market: m(a)r:k(i)t
_marketed: m(a)r:k(i):t(i)d
_markets: m(a)r:k(i)ts
_marking: m(a)r:k(1)ng
_marks: m(a)rks
_marriage: m(A)r:(i)j
_marriages: m(A)r:r(i):j(i)z
_married: m(A)r:r(E)d
_marries: m(A)r:r(E)z
_marring: m(A)r:r(E):(1)ng
_marry: m(A)r:r(E)
_marrying: m(A)r:r(E):(1)ng
_mascara: m(@)s:k(A)r:r(u)
_mass: m(@)s
_masses: m(@):s(i)z
_massive: m(@):s(i)v
_master: m(@)s:t(3)
_mastered: m(@)s:t(3)d
_mastering: m(@):st(3):r(1)ng
_masters: m(@)s:t(3)z
_match: m(@)ch
_matched: m(@)cht
_matches: m(@):ch(i)z
_matching: m(@):ch(1)ng
_material: m(u):t(E)r:r(E):(0)l
_materials: m(u):t(E)r:r(E):(0)lz
_matter: m(@):d(3)
_mattered: m(@):d(3)d
_matters: m(@):d(3)z
_may: m(A)
_maybe: m(A):b(E)
_me: m(E)
_meal: m(E)l
_meals: m(E)lz
_mean: m(E)n
_meaner: m(E):n(3)
_meaning: m(E):n(1)ng
_meaningful: m(E):n(1)ng:f(0)l
_meanings: m(E):n(1)ngz
_means: m(E)ns
_meant: m(e)nt
_meanwhile: m(E)n:w(I)l|m(E)n:w(I):(0)l
_measure: m(e):zh(3)
_measured: m(e):zh(3)d
_measures: m(e):zh(3)z
_measuring: m(e):zh(3):r(1)ng
_meat: m(E)t
_meats: m(E)ts
_media: m(E):d(E):(u)
_medias: m(E):d(E):(u)z
_medical: m(e):d(i):k(0)l
_medicine: m(e):d(i):s(i)n
_medicines: m(e):d(i):s(i)ns
_meet: m(E)t
_meeting: m(E):d(1)ng
_meetings: m(E):d(1)ngz
_meets: m(E)ts
_melt: m(e)lt
_melting: m(e)l:t(1)ng
_member: m(e)m:b(3)
_members: m(e)m:b(3)z
_memories: m(e):m(3):r(E)z
_memory: m(e):m(3):r(E)
_men: m(e)n
_mental: m(e)n:t(0)l
_mention: m(e)n:sh(i)n
_mentioned: m(e)n:sh(i)nd
_mentioning: m(e)n:sh(i):n(1)ng
_mentions: m(e)n:sh(i)ns
_mere: my(3)
_merely: m(E)r:l(E)
_mess: m(e)s
_message: m(e):s(i)j
_messaged: m(e):s(i)jt
_messages: m(e):s(i):j(i)z
_messaging: m(e):s(i):j(1)ng
_messed: m(e)st
_met: m(e)t
_metal: m(e):dd(0)l
_metals: m(e):dd(0)lz
_method: m(e):th(i)d
_methods: m(e):th(i)dz
_middle: m(i):d(0)l
_middles: m(i):d(0)lz
_might: m(I)t
_mights: m(I)ts
_mightve: m(I):t(i)v
_militaries: m(i):l(i):t(A)r:r(E)z
_military: m(i):l(i):t(A)r:r(E)
_militarys: m(i):l(i):t(A)r:r(E)z
_milk: m(i)lk
_milked: m(i)lkt
_milking: m(i)l:k(1)ng
_milks: m(i)lks
_million: m(i)l:l(E):(i)n
_millions: m(i)l:l(E):(i)ns
_mind: m(I)nd
_minded: m(I)n:d(i)d
_minds: m(I)nz
_mine: m(I)n
_minister: m(i):n(i)s:t(3)
_ministers: m(i):n(i)s:t(3)z
_minorities: m(I):n(0)r:r(i):dd(E)z
_minority: m(I):n(0)r:r(i):dd(E)
_minute: m(i):n(i)t
_minutes: m(i):n(i)ts
_mirror: m(E)r:r(3)
_mirrored: m(E)r:r(3)d
_mirroring: m(E):r(3):(1)ng
_mirrors: m(E)r:r(3)z
_miss: m(i)s
_missed: m(i)st
_misses: m(i):s(i)z
_missing: m(i):s(1)ng
_mission: m(i):sh(i)n
_missions: m(i):sh(i)ns
_mistake: m(i)s:t(A)k
_mistakes: m(i)s:t(A)ks
_mistook: m(i)s:t(6)k
_mix: m(i)ks
_mixed: m(i)kst
_mixes: m(i)k:s(i)s
_mixing: m(i)k:s(1)ng
_mo: m(O)
_model: m(a):d(0)l
_modeled: m(a):d(0)ld
_models: m(a):d(0)lz
_modern: m(a):d(3)n
_mom: m(a)m
_moment: m(O):m(i)nt
_moments: m(O):m(i)nts
_moms: m(a)mz
_money: m(u):n(E)
_moneyd: m(u):n(E)d
_moneys: m(u):n(E)s
_monies: m(u):n(E)s
_monsters: m(a)n:st(3)z
_month: m(u)nth
_months: m(u)nths
_moon: m(o)n
_moral: m(0)r:r(0)l
_morality: m(0)r:r(@):l(i):dd(E)
_morals: m(0)r:r(0)lz
_more: m(0)r
_morning: m(0)r:n(1)ng
_mornings: m(0)r:n(1)ngz
_most: m(O)st
_mostly: m(O)st:l(E)
_mother: m(u):dh(3)
_motherd: m(u):dh(3):h(6)d
_mothers: m(u):dh(3)s
_motion: m(O):sh(i)n
_motioned: m(O):sh(i)nd
_motioning: m(O):sh(i):n(1)ng
_motions: m(O):sh(i)ns
_mountain: m(8n):t(i)n
_mountains: m(8n):t(i)ns
_mourn: m(0)rn
_mouth: m(8)th
_mouths: m(8)ths
_move: m(o)v
_moved: m(o)vd
_movement: m(o)v:m(i)nt
_movements: m(o)v:m(i)nts
_moves: m(o)vz
_movie: m(o):v(E)
_movies: m(o):v(E)z
_moving: m(O):v(1)ng
_mozaik: m(O):z(I)k
_mr: m(i)s:t(3)
_mrs: m(i):s(i)z
_ms: m(i)s
_much: m(u)ch
_multiple: m(0)l:t(i):p(0)l
_multiplied: m(0)l:t(i):pl(I)d
_multiplies: m(0)l:t(i):p(0)lz
_multiplying: m(0)l:t(i):pl(I):(1)ng
_murder: m(3):d(3)
_murdered: m(3):d(3)d
_murdering: m(3):d(3):(1)ng
_murders: m(3):d(3)z
_muscle: m(u):s(0)l
_muscles: m(u):s(0)lz
_museum: my(o):z(E)m
_museums: my(o):z(E)mz
_music: my(o):z(i)k
_musical: my(o):z(i):k(0)l
_musically: my(o):z(i)k:l(E)
_musicals: my(o):z(i):k(0)lz
_musics: my(o):z(i)ks
_must: m(u)st
_must've: m(u)s:t(u)v
_my: m(I)
_myself: m(I):s(e)lf
_n: (n)n
_name: n(A)m
_named: n(A)md
_names: n(A)mz
_narrow: n(A)r:r(O)
_narrower: n(A)r:r(O):(3)
_narrowest: n(A)r:r(O):(i)st
_nation: n(A):sh(i)n
_national: n(@):sh(i):n(O)l
_nationality: n(@):sh(i):n(@):l(i):d(E)
_nationals: n(@):sh(u):n(O)lz
_nations: n(A):sh(i)ns
_native: n(A):dd(i)v
_natives: n(A):dd(i)vz
_natural: n(@):ch(3):(0)l
_naturally: n(@):tr(a):l(E)|n(@):ch(3):r(u):l(E)
_naturals: n(@):ch(3):r(0)lz
_nature: n(A):ch(3)
_natured: n(A):ch(3)d
_natures: n(A):ch(3)z
_near: n(E)r
_neared: n(E)rd
_nearly: n(E)r:l(E)
_nearly'd: n(E)r:l(E)d
_nears: n(E)rs
_necessarily: n(e):s(i):s(A)r:r(E)
_necessary: n(e):s(i):s(A)r:r(E)
_neck: n(e)k
_necks: n(e)ks
_need: n(E)d
_needed: n(E):d(i)d
_needless: n(E)d:l(e)s
_needs: n(E)dz
_negative: n(e):g(a):d(i)v
_negativity: n(e):g(u):t(i):v(u):d(E)
_neighbor: n(A):b(3)
_neighbored: n(A):b(3)d
_neighborhood: n(A):b(3):h(6)d
_neighborhoods: n(A):b(3):h(6)dz
_neighbors: n(A):b(3)z
_neither: n(E):th(3)
_neon: n(E):(a)n
_network: n(e)t:w(3)k
_networked: n(e)t:w(3)kt
_networking: n(e)t:w(3):k(1)ng
_networks: n(e)t:w(3)ks
_never: n(e):v(3)
_new: n(o)
_newer: n(o):w(3)
_newest: n(o):w(i)st
_news: n(o)z
_newspaper: n(o)z:p(A):p(3)
_newspapers: n(o)z:p(A):p(3)z
_next: n(e)kst
_nexts: n(e)ksts
_nice: n(I)s
_nicely: n(I)s:l(E)
_nicer: n(I):s(3)
_nicest: n(I):s(i)st
_night: n(I)t
_nights: n(I)ts
_nine: n(I)n
_no: n(O)
_nobodies: n(O):b(a):d(E)z
_nobody: n(O):b(a):d(E)
_nobodys: n(O):b(a):d(E)z
_nod: n(a)d
_nodded: n(a):dd(i)d
_nodding: n(a):dd(1)ng
_nods: n(a)dz
_noise: n(Q)z
_noises: n(Q):z(i)z
_none: n(u)n
_nope: n(O)p
_nor: n(0)r
_normal: n(0)r:m(0)l
_normally: n(0)r:m(u):l(E)
_normals: n(0)r:m(0)lz
_north: n(0)rth
_northern: n(0)r:dh(3)n
_nose: n(O)z
_noses: n(O):z(i)z
_not: n(a)t
_note: n(O)t
_noted: n(O):d(i)d
_notes: n(O)ts
_nothing: n(u):th(1)ng
_nothingd: n(u):th(1)ngd
_nothings: n(u):th(1)ngz
_notice: n(O):d(i)s
_noticed: n(O):d(i)st
_notices: n(O):d(i):s(i)z
_noticing: n(O):d(i):s(1)ng
_notion: n(O):sh(i)n
_notions: n(O):sh(i)ns
_nots: n(a)ts
_novel: n(9):v(0)l
_novels: n(9):v(0)lz
_now: n(8)
_nowd: n(8)d
_nows: n(8)s
_nuclear: n(o):kl(E)r|n(o):kl(E):(3)
_nuclears: n(o):kl(E)rz|n(o):kl(E):(3)z
_number: n(u)m:b(3)
_numbers: n(u)m:b(3)s
_nurse: n(3)s
_nursed: n(3)st
_nurses: n(3):s(i)z
_nursing: n(3):s(1)ng
_o: (O)
_object: (u)b:j(e)kt|(a)b:j(e)kt
_objected: (u)b:j(e)k:t(i)d
_objecting: (u)b:j(e)k:t(1)ng
_objects: (u)b:j(e)kts|(a)b:j(e)kts
_observation: (a)b:z(3):v(A):sh(i)n
_observations: (a)b:z(3):v(A):sh(i)ns
_observe: (u)b:z(3)v
_observed: (u)b:z(3)vd
_observes: (u)b:z(3)vz
_observing: (u)b:z(3):v(1)ng
_obtain: (u)b:t(A)n
_obtained: (u)b:t(A)nd
_obtaining: (u)b:t(A):n(1)ng
_obtains: (u)b:t(A)nz
_obvious: (a)b:v(E):(i)s
_obviously: (a)b:v(E):(i)s:l(E)
_occur: (u):k(3)
_occurred: (u):k(3)d
_occurs: (u):k(3)z
_ocean: (O):sh(i)n
_oceans: (O):sh(i)nz
_of: (u)v
_off: (a)f
_offer: (a):f(3)
_offered: (a):f(3)d
_offers: (a):f(3)s
_office: (9):f(i)s
_officer: (a):f(i):s(3)
_officers: (a):f(i):s(3)z
_offices: (9):f(i):s(i)z
_official: (u):f(i):sh(0)l
_officially: (u):f(i):sh(u):l(E)
_officials: (u):f(i):sh(0)lz
_often: (a)f:t(i)n
_oh: (O)
_oil: (Q):(0)l
_oiled: (Q):(0)ld
_oils: (Q):(0)ls
_ok: (O):k(A)
_okay: (O):k(A)
_okays: (O):k(A)z
_oks: (O):k(A)z
_old: (0)ld
_on: (a)n
_once: w(u)ns
_one: w(u)n
_ones: w(u)ns
_only: (O)n:l(E)
_onto: (a)n:t(o)
_ooh: (o)
_open: (O):p(i)n
_opened: (O):p(i)nd
_opening: (O):p(i):n(1)ng
_opens: (O):p(i)ns
_operate: (a):p(3):r(A)t
_operated: (a):p(3):r(A):d(i)d
_operates: (a):p(3):r(A)ts
_operating: (a):p(3):r(A):d(1)ng
_operation: (a):p(3):r(A):sh(i)n
_operations: (a):p(3):r(A):sh(i)ns
_operator: (a):p(3):r(A):d(3)
_opinion: (u):p(i)n:y(i)n
_opinions: (u):p(i)n:y(i)ns
_opportunities: (a):pr(u):t(o):n(i):d(E)z
_opportunity: (a):pr(u):t(o):n(i):d(E)
_oppose: (u):p(O)z
_opposed: (u):p(O)zt
_opposes: (u):p(O):z(i)z
_opposing: (u):p(O):z(1)ng
_opposition: (a):p(u):z(i):sh(i)n
_oppositions: (a):p(u):z(i):sh(i)ns
_option: (a)p:sh(i)n
_options: (a)p:sh(i)ns
_or: (0)r
_order: (0)r:d(3)
_ordered: (0)r:d(3)d
_orders: (0)r:d(3)z
_organization: (0)r:g(i):n(u):z(A):sh(i)n
_organizations: (0)r:g(i):n(u):z(A):sh(i)ns
_organize: (0)r:g(i):n(I)z
_organized: (0)r:g(i):n(I)zd
_organizes: (0)r:g(i):n(I):z(i)z
_organizing: (0)r:g(i):n(I):z(1)ng
_original: (0)r:r(i):j(i):n(0)l
_originally: (0)r:r(i):j(i):n(0)l:l(E)
_originals: (0)r:r(i):j(i):n(0)lz
_ors: (0)rz
_other: (u):dh(3)
_others: (u):dh(3)s
_otherwise: (u):dh(3):w(I)s
_ought: (9)t
_our: (a)r
_ours: (a)rs
_ourselves: (a)r:s(e)lvz
_out: (8)t
_outcome: (8)t:k(u)m
_outcomes: (8)t:k(u)mz
_outs: (8)ts
_outside: (8)t:s(I)d
_outsides: (8)t:s(I)dz
_over: (O):v(3)
_overall: (O):v(3):r(9l)
_overcome: (O):v(3):k(u)m
_own: (O)n
_owned: (O)nd
_owner: (O):n(3)
_owners: (O):n(3)z
_owns: (O)nz
_pa: p(u)
_pace: p(A)s
_paced: p(A)st
_package: p(@):k(i)j
_packaged: p(@):k(i)jd
_packages: p(@):k(i):j(i)z
_packaging: p(@):k(i):j(1)ng
_page: p(A)j
_paged: p(A)jd
_pages: p(A):j(i)z
_paid: p(A)d
_pain: p(A)n
_pains: p(A)ns
_paint: p(A)nt
_painted: p(A)n:t(i)d
_painting: p(A)n:t(1)ng
_paintings: p(A)n:t(1)ngz
_paints: p(A)nts
_pair: p(A)r
_pairs: p(A)rz
_panel: p(&):n(0)l
_panels: p(&):n(0)ls
_paper: p(A):p(3)
_papers: p(A):p(3)s
_paradise: p(A)r:r(u):d(i)s
_parent: p(A)r:r(i)nt
_parented: p(A)r:r(i)n:t(i)d
_parents: p(A)r:r(i)nts
_park: p(a)rk
_parked: p(a)rkd
_parking: p(a)r:k(1)ng
_parks: p(a)rks
_part: p(a)rt
_parted: p(a)r:t(i)d
_participant: p(a)r:t(i):s(u):p(i)nt
_participants: p(a)r:t(i):s(u):p(i)nts
_participate: p(a)r:t(i):s(u):p(A)t
_participated: p(a)r:t(i):s(u):p(A):t(i)d
_participates: p(a)r:t(i):s(u):p(A)ts
_participating: p(a)r:t(i):s(u):p(A):t(1)ng
_particular: p(a)r:t(i):ky(o):l(3)
_particularly: p(a)r:t(i):ky(o):l(3):l(E)
_particulars: p(a)r:t(i):ky(o):l(3)z
_parties: p(a)r:t(E)s
_partner: p(a)rt:n(3)
_partners: p(a)rt:n(3)z
_parts: p(a)rts
_party: p(a)r:t(E)
_partys: p(a)r:t(E)s
_pass: p(@)s
_passed: p(@)st
_passenger: p(@):s(i)n:j(3)
_passengers: p(@):s(i)n:j(3)z
_passes: p(@):s(i)z
_passing: p(@):s(1)ng
_past: p(@)st
_pasts: p(@)sts
_path: p(@)th
_pathed: p(@)thd
_pathing: p(@):th(1)ng
_paths: p(@)ths
_patient: p(A):sh(i)nt
_patients: p(A):sh(i)nts
_pattern: p(@):t(3)n
_patterned: p(@):t(3)nd
_patterns: p(@):t(3)ns
_paving: p(A):v(1)ng
_pay: p(A)
_payment: p(A):m(i)nt
_payments: p(A):m(i)nts
_pays: p(A)s
_peace: p(E)s
_peaces: p(E):s(i)z
_pedo: p(e):d(O)
_people: p(E):p(0)l
_pepper: p(e):p(3)
_peppers: p(e):p(3)s
_per: p(3)
_percentage: p(3):s(e)n:t(i)j
_percentages: p(3):s(e)n:t(i):j(i)z
_perception: p(3):s(e)p:sh(i)n
_perceptions: p(3):s(e)p:sh(i)ns
_perfect: p(3):f(i)kt
_perfected: p(3):f(e)k:t(i)d
_perfectly: p(3):f(i)k:l(E)
_perform: p(3):f(0)rm
_performance: p(3):f(0)r:m(i)ns
_performances: p(3):f(0)r:m(i)n:s(i)z
_performed: p(3):f(0)rmd
_performing: p(3):f(0)r:m(1)ng
_performs: p(3):f(0)rms
_perhaps: p(3):h(@)ps
_period: p(E)r:r(E):(i)d
_periods: p(E)r:r(E):(i)dz
_permit: p(3):m(i)t
_permits: p(3):m(i)ts
_permitted: p(3):m(i):d(i)d
_permitting: p(3):m(i):d(1)ng
_person: p(3):s(i)n
_personal: p(3):s(i):n(0)l
_personalities: p(3):s(i):n(@):l(i):t(E)z
_personality: p(3):s(i):n(@):l(i):t(E)
_personals: p(3):s(i):n(0)ls
_persons: p(3):s(i)ns
_perspective: p(3):sp(e)k:t(i)v
_perspectives: p(3):sp(e)k:t(i)vz
_phone: f(O)n
_phoned: f(O)nd
_phones: f(O)ns
_photo: f(O):t(O)
_photograph: f(O):dd(O):gr(@)f
_photographed: f(O):dd(O):gr(@)fd
_photographing: f(o):d(O):gr(@):f(1)ng
_photographs: f(O):dd(O):gr(@)fs
_photos: f(O):dd(O)z
_physical: f(i):z(i):k(0)l
_physician: f(i):z(i):sh(i)n
_piano: p(E):(&)n:(O)
_pick: p(i)k
_picked: p(i)kt
_picks: p(i)ks
_picture: p(i)k:ch(3)
_pictured: p(i)k:ch(3)d
_pictures: p(i)k:ch(3)s
_piece: p(E)s
_pieced: p(E)st
_pieces: p(E):s(i)z
_pile: p(I)l
_piled: p(I):y(0)ld
_pilot: p(I):l(i)t
_piloted: p(I):l(i):dd(i)d
_piloting: p(I):l(i):dd(1)ng
_pilots: p(I):l(i)ts
_place: pl(A)s
_placed: pl(A)st
_places: pl(A):s(i)s
_plain: pl(A)n
_plan: pl(&)n
_plane: pl(A)n
_planes: pl(A)nz
_planet: pl(&)n:(i)t
_planets: pl(&)n:(i)ts
_planned: pl(&)nd
_plans: pl(&)ns
_plant: pl(&)nt
_planted: pl(&)n:t(i)d
_plants: pl(&)nts
_plastic: pl(@)s:t(i)k
_plastics: pl(@)s:t(i)ks
_plate: pl(A)t
_plated: pl(A):t(i)d
_plates: pl(A)ts
_plating: pl(A):t(1)ng
_play: pl(A)
_played: pl(A)d
_player: pl(A):y(3)
_players: pl(A):y(3)z
_playing: pl(A):(1)ng
_plays: pl(A)s
_please: pl(E)z
_pleased: pl(E)zd
_pleases: pl(E):z(i)z
_pleasing: pl(E):z(1)ng
_pleasure: pl(e):zh(3)
_pleasured: pl(e):zh(3)d
_pleasures: pl(e):zh(3)z
_pleasuring: pl(e):zh(3):(1)ng
_pledging: pl(e):j(1)ng
_plentiful: pl(e)n:t(i):f(0)l
_plenty: pl(e)n:t(E)
_plus: pl(u)s
_pm: p(E):(e)m
_pocket: p(a):k(i)t
_pockets: p(a):k(i)ts
_point: p(Q)nt
_pointed: p(Q)n:t(i)d
_points: p(Q)nts
_poison: p(Q):z(i)n
_police: p(O):l(E)s
_polices: p(O):l(E):s(i)z
_policies: p(a):l(i):s(E)s
_policy: p(a):l(i):s(E)
_policys: p(a):l(i):s(E)s
_political: p(O):l(i):t(i):k(O)l
_politician: p(a):l(i):t(i):sh(i)n
_politicians: p(a):l(i):t(i):sh(i)ns
_politics: p(a):l(i):t(i)ks
_poll: p(0)l
_polling: p(0)l:l(1)ng
_polls: p(0)ls
_pool: p(o)l
_pools: p(o)ls
_poor: p(0)r
_poorer: p(0)r:r(3)
_poorest: p(0)r:r(i)st
_poors: p(0)rs
_popping: p(a):p(1)ng
_popular: p(a):py(o):l(3)
_populated: p(a):py(o):l(A):t(i)d
_population: p(a):py(o):l(A):sh(i)n
_populations: p(a):py(o):l(A):sh(i)ns
_position: p(O):z(i):sh(i)n
_positioned: p(O):z(i):sh(i)nd
_positions: p(O):z(i):sh(i)ns
_positive: p(a):z(i):t(i)v
_possibilities: p(a):s(i):b(i):l(i):t(E)z
_possibility: p(a):s(i):b(i):l(i):t(E)
_possible: p(a):s(i):b(0)l
_possibly: p(a):s(i):bl(E)
_possiblyd: p(a):s(i):bl(E)d
_potential: p(u):t(e)n:sh(0)l
_potentially: p(u):t(e)n:sh(0)l:l(E)
_potentials: p(u):t(e)n:sh(0)ls
_pound: p(8n)d
_pounded: p(8n):d(i)d
_pounding: p(8n):d(1)ng
_pounds: p(8n)dz
_pour: p(0)r
_poured: p(0)rd
_pouring: p(0)r:r(1)ng
_pours: p(0)rs
_power: p(8):w(3)
_powered: p(8):w(3)d
_powerful: p(8):w(3):f(0)l
_powerfully: p(8):w(3):f(0)l:l(E)
_powerless: p(8):w(3):l(e)s
_powers: p(8):w(3)z
_practice: pr(@)k:t(i)s
_practiced: pr(@)k:t(i)st
_practices: pr(@)k:t(i):s(i)z
_prayer: pr(A)r
_prayers: pr(A)rz
_praying: pr(A):(1)ng
_predict: pr(i):d(i)kt
_predicted: pr(i):d(i)k:t(i)d
_predicting: pr(i):d(i)k:t(1)ng
_predicts: pr(i):d(i)kts
_prefer: pr(i):f(3)
_preferred: pr(i):f(3)d
_preferring: pr(i):f(3):r(1)ng
_prefers: pr(i):f(3)z
_prepare: pr(E):p(A)r
_prepared: pr(E):p(A)rd
_prepares: pr(E):p(A)rz
_presence: pr(e):s(i)ns
_presences: pr(e):s(i)ns
_present: pr(e):z(i)nt
_presented: pr(E):z(e)n:t(i)d
_presenting: pr(E):z(e)n:t(1)ng
_presents: pr(e):z(i)nts
_president: pr(e):z(i):d(i)nt
_presidential: pr(e):z(i):d(e)n:s(0)l
_presidents: pr(e):z(i):d(i)nts
_press: pr(e)s
_pressed: pr(e)st
_presses: pr(e):s(i)z
_pressing: pr(e):s(1)ng
_pressure: pr(e):sh(3)
_pressures: pr(e):sh(3)z
_prettier: pr(i):t(E):y(3)
_prettiest: pr(i):t(E):y(i)st
_pretty: pr(i):t(E)
_prevent: pr(E):v(e)nt
_prevented: pr(E):v(e)n:t(i)d
_prevents: pr(E):v(e)nts
_previous: pr(E):v(E):y(i)s
_previously: pr(E):v(E):(i)s:l(E)
_price: pr(I)s
_priced: pr(I)st
_prices: pr(I):s(i)s
_primaries: pr(I):m(A)r:(E)z
_primary: pr(I):m(A)r:(E)
_primarys: pr(I):m(A)r:(E)z
_prime: pr(I)m
_primes: pr(I)mz
_principle: pr(i)n:s(i):b(0)l
_principled: pr(i)n:s(i):b(0)ld
_principles: pr(i)n:s(i):b(0)ls
_priorities: pr(I):(0)r:r(i):t(E)z
_priority: pr(I):(0)r:r(i):t(E)
_prison: pr(i):z(i)n
_prisons: pr(i):z(i)ns
_private: pr(I):v(i)t
_privates: pr(I):v(i)ts
_probably: pr(a):b(u)b:l(E)
_problem: pr(a):bl(e)m
_problems: pr(a):bl(e)mz
_procedure: pr(O):s(E):j(3)
_procedures: pr(O):s(E):j(3)z
_process: pr(a):s(e)s
_processed: pr(a):s(e)st
_processes: pr(a):s(e):s(i)s
_produce: pr(O):d(o)s
_produced: pr(O):d(u)st
_producer: pr(u):d(o):s(3)
_producers: pr(u):d(o):s(3)z
_produces: pr(O):d(o):s(i)z
_product: pr(a):d(u)ct
_production: pr(O):d(u)k:sh(i)n
_products: pr(a):d(u)cts
_professional: pr(u):f(e):sh(i)n:n(0)l
_professionally: pr(u):f(e):sh(i)n:n(0)l:l(E)
_professionals: pr(u):f(e):sh(i)n:n(0)ls
_professor: pr(O):f(e):s(3)
_professors: pr(O):f(e):s(3)z
_profit: pr(a):f(i)t
_profited: pr(a):f(i):d(i)d
