_a: u
_nobodys: nO:ba:dE,Ez
_nod: na,ad
_nodded: na:ddi,id
_nodding: na:dd1,1ng
_nods: na,ads
_noise: nQ,Qz
_noises: nQ:zi,iz
_none: nu,un
_nope: nO,Op
_nor: n0,0r
_normal: n0,0r:m0,0l
_normally: n0,0r:mu:lE
_normals: n0,0r:m0,0ls
_north: n0,0rth
_northern: n0,0r:dh3,3n
_nos: nO,Oz
_nose: nO,Oz
_noses: nO:zi,iz
_not: na,at
_note: nO,Ot
_noted: nO:ti,id
_notes: nO,Ots
_nothing: nu:th1,1ng
_nothingd: nu:th1,1ngd
_nothings: nu:th1,1ngz
_notice: nO:ti,is
_noticed: nO:ti,isd
_notices: nO:ti:si,iz
_noticing: nO:ti:s1,1ng
_notion: nO:shi,in
_notions: nO:shi,ins
_nots: na,ats
_novel: n9:v0,0l
_novels: n9:v0,0ls
_now: n8
_nowd: n8,8d
_nows: n8,8s
_nt: n,nt
_nuclear: no:klE,Er
_nuclears: no:klE,Erz
_number: nu,um:b3
_numbers: nu,um:b3,3s
_nurse: n3,3s
_nursed: n3,3sd
_nurses: n3:si,iz
_nursing: n3:s1,1ng
_o: O
_object: u,ub:je,ekt
_objected: u,ub:je,ek:ti,id
_objecting: u,ub:je,ek:t1,1ng
_objects: u,ub:je,ekts
_observation: a,ab:z3:vA:shi,in
_observations: a,ab:z3:vA:shi,ins
_observe: u,ub:z3,3v
_observed: u,ub:z3,3vd
_observes: u,ub:z3,3vz
_observing: u,ub:z3:v1,1ng
_obtain: u,ub:tA,An
_obtained: u,ub:tA,And
_obtaining: u,ub:tA,An:n1,1ng
_obtains: u,ub:tA,Anz
_obvious: a,ab:vE:i,is
_obviously: a,ab:vE:i,is:lE
_occur: u:k3
_occurred: u:k3,3d
_occurs: u:k3,3z
_ocean: O:shi,in
_oceans: O:shi,ins
_of: u,uv
_off: a,af
_offer: a:f3
_offered: a:f3,3d
_offers: a:f3,3s
_office: 9:fi,is
_officer: a:fi:s3
_officers: a:fi:s3,3z
_offices: 9:fi:si,is
_official: u:fi:sh0,0l
_officially: u:fi:shu:lE
_officials: u:fi:sh0,0ls
_often: a,af:ti,in
_oh: O
_oil: Q:y0,0l
_oiled: Q:y0,0ld
_oils: Q:y0,0ls
_ok: O:kA
_okay: O:kA
_okays: O:kA,Az
_oks: O:kA,Az
_old: O,Old
_on: a,an
_once: wu,uns
_one: wu,un
_ones: wu,uns
_only: O,On:lE
_onto: a,an:to
_open: O:pi,in
_opened: O:pi,ind
_opening: O:pi,in:n1,1ng
_opens: O:pi,ins
_operate: a:p3:rA,At
_operated: a:p3:rA:ti,id
_operates: a:p3:rA,Ats
_operating: a:p3:rA:t1,1ng
_operation: a:p3:rA:shi,in
_operations: a:p3:rA:shi,ins
_operator: a:p3:rA:d3
_opinion: u:pi,in:yi,in
_opinions: u:pi,in:yi,ins
_opportunities: a:pru:to:ni:tE,Ez
_opportunity: a:pru:to:ni:tE
_oppose: u:pO,Oz
_opposed: u:pO,Ozd
_opposes: u:pO:zi,iz
_opposing: u:pO:z1,1ng
_opposition: a:pu:zi:shi,in
_oppositions: a:pu:zi:shi,ins
_option: a,ap:shi,in
_options: a,ap:shi,ins
_or: 0,0r
_order: 0,0r:d3
_ordered: 0,0r:d3,3d
_orders: 0,0r:d3,3z
_organization: 0,0r:gi:nu:zA:shi,in
_organizations: 0,0r:gi:nu:zA:shi,ins
_organize: 0,0r:gi:nI,Iz
_organized: 0,0r:gi:nI,Izd
_organizes: 0,0r:gi:nI:zi,iz
_organizing: 0,0r:gi:nI:z1,1ng
_original: 0,0r:ri:ji:n0,0l
_originally: 0,0r:ri:ji:n0,0l:lE
_originals: 0,0r:ri:ji:n0,0ls
_ors: 0,0rs
_other: u:th3
_others: u:th3,3s
_otherwise: u:dh3:wI,Is
_ought: 9,9t
_our: a,ar
_ours: a,ars
_ourselves: 0,0r:se,elvz
_out: 8,8t
_outcome: 8,8t:ku,um
_outcomes: 8,8t:ku,ums
_outs: 8,8ts
_outside: 8,8t:sI,Id
_outsides: 8,8t:sI,Ids
_over: O:v3
_overall: O:v3:r9,9l
_overcome: O:v3:ku,um
_own: O,On
_owned: O,Ond
_owner: O:n3
_owners: O:n3,3z
_owns: O,Ons
_pa: pu
_pace: pA,As
_paced: pA,Ast
_package: p@:ki,ij
_packaged: p@:ki,ijd
_packages: p@:ki:ji,iz
_packaging: p@:ki:j1,1ng
_page: pA,Aj
_paged: pA,Ajd
_pages: pA:ji,iz
_paid: pA,Ad
_pain: pA,An
_pains: pA,Ans
_paint: pA,Ant
_painted: pA,An:ti,id
_painting: pA,An:t1,1ng
_paintings: pA,An:t1,1ngz
_paints: pA,Ants
_pair: pA,Ar
_pairs: pA,Arz
_panel: p&:n0,0l
_panels: p&:n0,0ls
_paper: pA:p3
_papers: pA:p3,3s
_parent: pA,Ar:ri,int
_parented: pA,Ar:ri,in:ti,id
_parents: pA,Ar:ri,ints
_park: pa,ark
_parked: pa,arkd
_parking: pa,ar:k1,1ng
_parks: pa,arks
_part: pa,art
_parted: pa,ar:ti,id
_participant: pa,ar:ti:su:pi,int
_participants: pa,ar:ti:su:pi,ints
_participate: pa,ar:ti:su:pA,At
_participated: pa,ar:ti:su:pA:ti,id
_participates: pa,ar:ti:su:pA,Ats
_participating: pa,ar:ti:su:pA:t1,1ng
_particular: pa,ar:ti:kU:l3
_particularly: pa,ar:ti:kU:l3:lE
_particulars: pa,ar:ti:kU:l3,3z
_parties: pa,ar:tE,Es
_partner: pa,art:n3
_partners: pa,art:n3,3z
_parts: pa,arts
_party: pa,ar:tE
_partys: pa,ar:tE,Es
_pass: p@,@s
_passed: p@,@sd
_passenger: p@:si,in:j3
_passengers: p@:si,in:j3,3z
_passes: p@:si,iz
_passing: p@:s1,1ng
_past: p@,@st
_pasts: p@,@sts
_path: p@,@th
_pathed: p@,@thd
_pathing: p@:th1,1ng
_paths: p@,@ths
_patient: pA:shi,int
_patients: pA,shi,ins
_pattern: p@:t3,3n
_patterned: p@:t3,3nd
_patterns: p@:t3,3ns
_paving: pA:v1,1ng
_pay: pA
_payment: pA:mi,int
_payments: pA:mi,ints
_pays: pA,As
_peace: pE,Es
_peaces: pE:si,iz
_people: pE:p0,0l
_pepper: pe:p3
_peppers: pe:p3,3s
_per: p3
_percentage: p3:se,en:ti,ij
_percentages: p3:se,en:ti:ji,iz
_perception: p3:se,ep:shi,in
_perceptions: p3:se,ep:shi,ins
_perfect: p3:fi,ikt
_perfected: p3:fe,ek:ti,id
_perfectly: p3:fi,ik:lE
_perform: p3:f0,0rm
_performance: p3:f0,0r:mi,ins
_performances: p3:f0,0r:mi,in:si,iz
_performed: p3:f0,0rmd
_performing: p3:f0,0r:m1,1ng
_performs: p3:f0,0rms
_perhaps: p3:h@,@ps
_period: pE,Er:rE:i,id
_periods: pE,Er:rE:i,ids
_permit: p3:mi,it
_permits: p3:mi,its
_permitted: p3:mi:di,id
_permitting: p3:mi:d1,1ng
_person: p3:si,in
_personal: p3:si:n0,0l
_personalities: p3:si:n@:li:tE,Ez
_personality: p3:si:n@:li:tE
_personals: p3:si:n0,0ls
_persons: p3:si,ins
_perspective: p3:spe,ek:ti,iv
_perspectives: p3:spe,ek:ti,ivz
_phone: fO,On
_phoned: fO,Ond
_phones: fO,Ons
_photo: fO:tO
_photograph: fO:ddO:gr@,@f
_photographed: fO:ddO:gr@,@fd
_photographing: fo:dO:gr@:f1,1ng
_photographs: fO:ddO:gr@,@fs
_photos: fO:ddO,Oz
_physical: fi:zi:k0,0l
_physician: fi:zi:shi,in
_piano: pE:&,&n:O
_pick: pi,ik
_picked: pi,ikd
_picks: pi,iks
_picture: pi,ik:ch3
_pictured: pi,ik:ch3,3d
_pictures: pi,ik:ch3,3s
_piece: pE,Es
_pieced: pE,Esd
_pieces: pE:si,iz
_pile: pI,Il
_piled: pI:y0,0ld
_pilot: pI:li,it
_piloted: pI:li:ddi,id
_piloting: pI:li:dd1,1ng
_pilots: pI:li,its
_place: plA,As
_placed: plA,Asd
_places: plA:si,is
_plain: plA,An
_plan: pl&,&n
_plane: plA,An
_planes: plA,Anz
_planet: pl&,&n:i,it
_planets: pl&,&n:i,its
_planned: pl&,&nd
_plans: pl&,&ns
_plant: pl&,&nt
_planted: pl&,&n:ti,id
_plants: pl&,&nts
_plastic: pl@,@s:ti,ik
_plastics: pl@,@s:ti,iks
_plate: plA,At
_plated: plA:ti,id
_plates: plA,Ats
_plating: plA:t1,1ng
_play: plA
_played: plA,Ad
_player: plA,y3
_players: plA,y3,3z
_plays: plA,As
_please: plE,Ez
_pleased: plE,Ezd
_pleases: plE:zi,iz
_pleasing: plE:z1,1ng
_pleasure: ple:zh3
_pleasured: ple:zh3,3d
_pleasures: ple:zh3,3z
_pleasuring: ple:zh3:1,1ng
_pledging: ple:j1,1ng
_plentiful: ple,en:ti:f0,0l
_plenty: ple,en:tE
_plus: plu,us
_pm: pE:e,em
_pocket: pa:ki,it
_pockets: pa:ki,its
_point: pQ,Qnt
_pointed: pQ,Qn:ti,id
_points: pQ,Qnts
_poison: pQ:zi,in
_police: pO:lE,Es
_polices: pO:lE:si,iz
_policies: pa:li:sE,Es
_policy: pa:li:sE
_policys: pa:li:sE,Es
_political: pO:li:ti:kO,Ol
_politician: pa:li:ti:shi,in
_politicians: pa:li:ti:shi,ins
_politics: pa:li:ti,iks
_poll: p0,0l
_polling: p0,0l:l1,1ng
_polls: p0,0ls
_pool: po,ol
_pools: po,ols
_poor: p0,0r
_poorer: p0,0r:r3
_poorest: p0,0r:ri,ist
_poors: p0,0rs
_popping: pa:p1,1ng
_popular: pa:pU:l3
_populated: pa:pU:lA:ti,id
_population: pa:pU:lA:shi,in
_populations: pa:pU:lA:shi,ins
_position: pO:zi:shi,in
_positioned: pO:zi:shi,ind
_positions: pO:zi:shi,ins
_positive: pa:zi:ti,iv
_possibilities: pa:si:bi:li:tE,Ez
_possibility: pa:si:bi:li:tE
_possible: pa:si:b0,0l
_possibly: pa:si:blE
_possiblyd: pa:si:blE,Ed
_potential: pu:te,en:sh0,0l
_potentially: pu:te,en:sh0,0l:lE
_potentials: pu:te,en:sh0,0ls
_pound: p8,8nd
_pounded: p8,8n:di,id
_pounding: p8,8n:d1,1ng
_pounds: p8,8nds
_pour: p0,0r
_poured: p0,0rd
_pouring: p0,0r:r1,1ng
_pours: p0,0rs
_power: p8:w3
_powered: p8:w3,3d
_powerful: p8:w3:f0,0l
_powerfully: p8:w3:f0:lE
_powerless: p8:w3:le,es
_powers: p8:w3,3z
_practice: pr@,@k:ti,is
_practiced: pr@,@k:ti,isd
_practices: pr@,@k:ti:si,iz
_prayer: prA,Ar
_prayers: prA,Arz
_predict: pri:di,ikt
_predicted: pri:di,ik:ti,id
_predicting: pri:di,ik:t1,1ng
_predicts: pri:di,ikts
_prefer: pri:f3
_preferred: pri:f3,3d
_preferring: pri:f3:r1,1ng
_prefers: pri:f3,3z
_prepare: prE:pA,Ar
_prepared: prE:pA,Ard
_prepares: prE:pA,Arz
_presence: pre:si,ins
_presences: pre:si,ins
_present: pre:zi,int
_presented: prE:ze,en:ti,id
_presenting: prE:ze,en:t1,1ng
_presents: pre:zi,ints
_president: pre:zi:di,int
_presidential: pre:zi:de,en:s0,0l
_presidents: pre:zi:di,ints
_press: pre,es
_pressed: pre,esd
_presses: pre:si,iz
_pressing: pre:s1,1ng
_pressure: pre:sh3
_pressures: pre:sh3,3z
_prettier: pri:tE:y3
_prettiest: pri:tE:yi,ist
_pretty: pri:tE
_prevent: prE:ve,ent
_prevented: prE:ve,en:ti,id
_prevents: prE:ve,ents
_previous: prE:vE:yi,is
_previously: prE:vE:i,is:lE
_price: prI,Is
_priced: prI,Isd
_prices: prI:si,is
_primaries: prI:mA,Ar:E,Ez
_primary: prI:mA,Ar:E
_primarys: prI:mA,Ar:E,Ez
_prime: prI,Im
_primes: prI,Ims
_principle: pri,in:si:b0,0l
_principled: pri,in:si:b0,0ld
_principles: pri,in:si:b0,0ls
_priorities: prI:0,0r:ri:tE,Ez
_priority: prI:0,0r:ri:tE
_prison: pri:zi,in
_prisons: pri:zi,ins
_private: prI:vi,it
_privates: prI:vi,its
_probably: pra:bu,ub:lE
_problem: pra:ble,em
_problems: pra:ble,ems
_procedure: prO:sE:j3
_procedures: prO:sE:j3,3z
_process: pra:se,es
_processed: pra:se,esd
_processes: pra:se:si,is
_produce: prO:do,os
_produced: prO:du,usd
_producer: pru:do:s3
_producers: pru:do:s3,3z
_produces: prO:do:si,iz
_product: pra:du,uct
_production: prO:du,uk:shi,in
_products: pra:du,ucts
_professional: pru:fe:shi,in:n0,0l
_professionally: pru:fe:shi,in:n0,0l:lE
_professionals: pru:fe:shi,in:n0,0ls
_professor: prO:fe:s3
_professors: prO:fe:s3,3z
_profit: pra:fi,it
_profited: pra:fi:di,id
_profiting: pra:fi:dd1,1ng
_profits: pra:fi,its
_program: prO:gr&,&m
_programmed: prO:gr&,&md
_programs: prO:gr&,&ms
_progress: pra:gre,es
_progressed: pra:gre,esd
_progresses: pra:gre:si,is
_progressing: pra:gre:s1,1ng
_progressive: pru:gre:si,iv
_project: pra:je,ekt
_projected: pra:je,ek:ti,id
_projects: pra:je,ekts
_promise: pra:mi,is
_promised: pra:mi,isd
_promises: pra:mi:si,iz
_promising: pra:mi:s1,1ng
_promote: prO:mO,Ot
_promoted: prO:mO:ti,id
_promotes: prO:mO,Ots
_promoting: prO:mO:t1,1ng
_proper: pra:p3
_properties: pra:p3:tE,Ez
_property: pra:p3:tE
_propertys: pra:p3:tE,Ez
_proposal: pru:pO:z0,0l
_proposals: pru:pO:z0,0ls
_propose: pru:pO,Oz
_proposed: pru:pO,Ozd
_proposes: pru:pO:zi,iz
_proposing: pru:pO:z1,1ng
_prosecutor: pra:si:kU:t3
_prosecutors: pra:si:kU:t3,3z
_protect: prO:te,ekt
_protected: prO:te,ek:ti,id
_protection: prO:te,ek:shi,in
_protections: prO:te,ek:shi,ins
_protects: prO:te,ekts
_proud: pr8,8d
_prouder: pr8:d3
_proudest: pr8:di,ist
_prove: pro,ov
_proved: pro,ovd
_proves: pro,ovz
_provide: prO:vI,Id
_provided: prO:vI:di,id
_provides: prO:vI,Ids
_proving: pro:v1,1ng
_public: pu,ub:li,ik
_publics: pu,ub:li,iks
_publish: pu:bli,ish
_published: pu:bli,ishd
_publishes: pu:bli:shi,iz
_publishing: pu:bli:sh1,1ng
_pull: p6,6l
_pulled: p6,6ld
_pulls: p6,6ls
_punches: pu,un:chi,iz
_pure: py3
_purpose: p3:pi,is
_purposed: p3:pi,isd
_purposes: p3:pi:si,iz
_pursue: p3:so
_pursued: p3:so,od
_pursues: p3:so,oz
_pursuing: p3:so:1,1ng
_pursuit: p3:so,ot
_push: p6,6sh
_pushed: p6,6shd
_pushes: p6:shi,iz
_put: p6,6t
_puts: p6,6ts
_qualified: kwa:li:fI,Id
_qualities: kwa:li:tE,Ez
_quality: kwa:li:tE
_quarter: k0,0r:dd3
_quartered: k0,0r:dd3,3d
_quarters: k0,0r:dd3,3z
_question: kwe,es:chi,in
_questioned: kwe,es:chi,ind
_questions: kwe,es:chi,ins
_quick: kwi,ik
_quicker: kwi:k3
_quickest: kwi:ki,ist
_quickly: kwi,ik:lE
_quicklyd: kwi,ik:lE,Ed
_quiet: kwI:i,it
_quieter: kwI:i:dd3
_quietest: kwI:i:ddi,ist
_quietly: kwI:i,it:lE
_quite: kwI,It
_r: R
_race: rA,As
_raced: rA,Asd
_races: rA:si,iz
_radio: rA:dE:O
_radios: rA:dE:O,Oz
_rain: rA,An
_rained: rA,And
_raining: rA:n1,1ng
_rains: rA,Ans
_raise: rA,Az
_raised: rA,Asd
_raises: rA:zi,iz
_ran: r&,&n
_range: rA,Anj
_ranged: rA,Anjd
_ranges: rA,An:ji,iz
_rare: rA,Ar
_rarer: rA,Ar:3
_rarest: rA,Ar:ri,ist
_rate: rA,At
_rated: rA:ti,id
_rates: rA,Ats
_rather: r@:th3
_rating: rA:dd1,1ng
_ratings: rA:dd1,1ngz
_rational: r@:shi:n0,0l
_rats: r@,@ts
_ray: rA
_reach: rE:Ech
_reached: rE:Echd
_reaches: rE:chi,iz
_reaching: rE:ch1,1ng
_react: rE:@,@kt
_reaction: rE:@,@k:shi,in
_reactions: rE:@,@k:shi,ins
_read: rE,Ed
_reader: rE:d3
_readers: rE:d3,3z
_readied: re:dE,Ed
_readies: re:dE,Ez
_reading: rE:d1,1ng
_readings: rE:d1,1ngz
_reads: rE,Eds
_ready: re:dE
_real: me,es
_realities: rE:y@:li:tE,Ez
_reality: rE:y@:li:tE
_realitys: rE:y@:li:tE,Ez
_realize: rE,El:lI,Iz
_realized: rE,El:lI,Izd
_realizes: rE,El:lI:zi,iz
_really: ri:lE
_reals: rE,Els
_reason: rE:zi,in
_reasoned: rE:zi,ind
_reasons: rE:zi,ins
_recall: rE:k9,9l
_recalled: rE:k9,9ld
_recalling: rE:ka:l1,1ng
_recalls: rE:k9,9ls
_receive: rE:sE,Ev
_received: rE:sE,Evd
_receives: rE:sE,Evz
_recent: rE:si,int
_recently: re:si,in:lE
_recognize: re:ki,ig:nI,Iz
_recognized: re:ki,ig:nI,Izd
_recognizes: re:ki,ig:nI:zi,iz
_recommend: re:ku:me,end
_recommended: re:ku:me,en:di,id
_recommending: re:ku:me,en:d1,1ng
_recommends: re:ku:me,ends
_record: ri:k0,0rd
_recorded: ri:k0,0r:di,id
_records: ri:k0,0rds
_recover: rE:ku:v3
_recovered: rE:ku:v3,3d
_recovering: rE:ku:v3:r1,1ng
_recovers: rE:ku:v3,3z
_red: re,ed
_reds: re,eds
_reduce: rE:do,os
_reduced: rE:do,osd
_reduces: rE:do:si,iz
_ree: rE
_reeling: rE,El:l1,1ng
_refer: rE:f3
_reference: re:fri,ins
_references: re:fri,in:si,iz
_referred: rE:f3,3d
_referring: rE:f3:r1,1ng
_refers: rE:f3,3z
_reflect: ri:fle,ekt
_reflected: ri:fle,ek:ti,id
_reflecting: ri:fle,ek:t1,1ng
_reflects: ri:fle,ekts
_reform: rE:f0,0rm
_reformed: rE:f0,0rmd
_reforming: rE:f0,0r:m1,1ng
_reforms: rE:f0,0rms
_refusal: rE:fU:z0,0l
_refuse: rE:fU,Uz
_refused: rE:fU,Uzd
_refuses: rE:fU:zi,iz
_refusing: rE:fU:z1,1ng
_regard: ri:ga,ard
_regarded: ri:ga,ar:di,id
_regarding: ri:ga,ar:d1,1ng
_regards: ri:ga,ards
_regime: ri:zhE,Em
_regimes: ri:zhE,Ems
_region: rE:ji,in
_regional: rE:gi,in:n0,0l
_regionals: rE:gi,in:n0,0ls
_regions: rE:ji,ins
_regret: rE:gre,et
_regular: re:gU:l3
_regulars: re:gU:l3,3z
_regulation: re:gU:lA:shi,in
_regulations: re:gU:lA:shi,ins
_reject: rE:je,ekt
_rejected: rE:je,ek:ti,id
_rejecting: rE:je,ek:t1,1ng
_rejects: rE:je,ekts
_relate: rE:lA,At
_related: rE:lA:ti,id
_relates: rE:lA,Ats
_relating: rE:lA:t1,1ng
_relation: rE:lA:shi,in
_relations: rE:lA:shi,ins
_relationship: rE:lA:shu,un:shi,ip
_relationships: rE:lA:shu,un:shi,ips
_relatively: re:li:ti,iv:lE
_release: rE:lE,Es
_released: rE:lE,Esd
_releases: rE:lE:si,iz
_releasing: rE:lE:s1,1ng
_relied: ri:lI,Id
_relief: rE:lE,Ef
_reliefs: rE:lE,Efs
_relies: ri:lI,Iz
_relieved: rE:lE,Evd
_relieving: rE:lE:v1,1ng
_religion: rE:li:ji,in
_religions: rE:li:ji,ins
_religious: rE:li:ji,is
_rely: rE:lI
_relying: ri:lI:1,1ng
_remain: rE:mA,An
_remains: rE:mA,Ans
_remember: rE:me,em:b3
_remembered: rE:me,em:b3,3d
_remembers: rE:me,em:b3,3z
_remind: ri:mI,Ind
_reminded: ri:mI,In:di,id
_reminding: ri:mI,In:d1,1ng
_reminds: ri:mI,Inds
_remove: rE:mo,ov
_removed: rE:mo,ovd
_removes: rE:mo,ovz
_removing: rE:mo:v1,1ng
_rendezvous: ra,an:de:vo
_repeat: ri:pE,Et
_repeated: ri:pE:ddi,id
_repeating: ri:pE:dd1,1ng
_repeats: ri:pE,Ets
_replace: rE:plA,As
_replaced: rE:plA,Asd
_replaces: rE:plA:si,iz
_replacing: rE:plA:s1,1ng
_report: rE:p0,0rt
_reported: rE:p0,0r:ti,id
_reporter: rE:p0,0r:d3
_reporters: rE:p0,0r:d3,3z
_reports: rE:p0,0rts
_represent: re:prE:ze,ent
_representative: re,ep:ri:ze,en:ni:ti,iv
_representatives: re,ep:ri:ze,en:ni:ti,ivz
_represents: re:prE:ze,ents
_republican: rE:pu,ub:li:ki,in
_republicans: rE:pu,ub:li:ki,ins
_request: rE:kwe,est
_requested: rE:kwe,es:ti,id
_requesting: rE:kwe,es:t1,1ng
_requests: rE:kwe,ests
_require: rE:kwI:3
_required: rE:kwI:3,3d
_requirement: ri:kwI:y3:mi,int
_requirements: ri:kwI:y3:mi,ints
_requires: rE:kwI:3,3s
_research: rE:s3,3ch
_researched: rE:s3,3chd
_researcher: rE:s3:ch3
_researchers: rE:s3:ch3,3z
_researches: rE:s3:chi,iz
_researching: rE:sh3:ch1,1ng
_reset: rE:se,et
_resident: re:zi:di,int
_residential: re:zi:de,en:sh0,0l
_residents: re:zi:di,ints
_residing: re:zi:d1,1ng
_resolution: re:zu:lo:shi,in
_resolutions: re:zu:lo:shi,ins
_resource: rE:s0,0rs
_resourced: rE:s0,0rsd
_resources: rE:s0,0r:si,iz
_respect: ri,is:pe,ekt
_respected: ri,is:pe,ek:ti,id
_respecting: ri,is:pe,ek:t1,1ng
_respects: ri,is:pe,ekts
_respond: re:spa,and
_responded: re:spa,an:di,id
_responding: re:spa,an:d1,1ng
_responds: re:spa,ands
_response: re:spa,ans
_responses: re:spa,an:si,iz
_responsibilities: ri:spa,an:si:bi,il:li:tE,Ez
_responsibility: ri:spa,an:si:bi,il:li:tE
_responsibilitys: ri:spa,an:si:bi,il:li:tE,Ez
_responsible: ri:spa,an:si:b0,0l
_rest: re,est
_restaurant: re,es:tra,ant
_restaurants: re,es:tra,ants
_rested: re,es:ti,id
_rests: re,ests
_result: rE:z0:0lt
_resulted: rE:z0,0l:ti,id
_results: rE:z0:0lts
_return: rE:t3,3n
_returned: rE:t3,3nd
_returns: rE:t3,3ns
_reveal: rE:vE,El
_revealed: rE:vE,Eld
_revealing: rE:vE,El:l1,1ng
_reveals: rE:vE,Elz
_revenue: re:vi:no
_revenues: re:vi:no,oz
_review: ri:vU
_reviewed: ri:vU,Ud
_reviewing: ri:vU:1,1ng
_reviews: ri:vU,Uz
_rich: ri,ich
_richer: ri:ch3
_riches: ri:chi,iz
_richest: ri:chi,ist
_ride: rI,Id
_rides: rI,Ids
_riding: rI:d1,1ng
_right: rI,It
_rights: rI,Its
_ring: r1,1ng
_ringing: r1,1n:g1,1ng
_rings: r1,1ngz
_rise: rI,iz
_risen: ri:zi,in
_rises: rI:zi,iz
_rising: rI:z1,1ng
_risk: ri,isk
_risked: ri,iskd
_risks: ri,isks
_river: ri:v3
_rivers: ri:v3,3z
_ro: rO
_road: rO,Od
_roads: rO,Ods
_rock: ra,ak
_rocks: ra,aks
_rocky: ra:kE
_rode: rO,Od
_rol: r0,0l
_role: r0,0l
_roles: r0,0ls
_roll: r0,0l
_rolled: r0,0ld
_rolling: r0,0l:l1,1ng
_rolls: r0,0ls
_romeo: rO:mE:O
_room: ro,om
_rooms: ro,oms
_root: ro,ot
_rooted: ro:ti,id
_rooting: ro:dd1,1ng
_roots: ro,ots
_rose: rO,Oz
_route: ro,ot
_routes: ro,ots
_row: rO
_rowed: rO,Od
_rowing: rO:1,1ng
_rows: rO,Oz
_rule: ro,ol
_ruled: ro,old
_rules: ro,ols
_run: ru,un
_running: ru:n1,1ng
_runs: ru,uns
_rural: r6:r0,0l
_rush: ru,ush
_rushed: ru,ushd
_rushes: ru:shi,iz
_rushing: ru:sh1,1ng
_russian: ru:shi,in
_russians: ru:shi,ins
_s: n
_sacrifice: s@:kri:fI,Is
_sacrificed: s@:kri:fI,Isd
_sad: s@,@d
_safe: sA,Af
_safely: sA,Af:lE
_safer: sA:f3
_safest: sA:fi,ist
_safeties: sA,Af:tE,Ez
_safety: sA,Af:tE
_said: se,ed
_sales: s9,9lz
_salt: s9,9lt
_salted: s9,9l:ti,id
_salting: s9,9l:t1,1ng
_salts: s9,9lts
_salute: sa:lo,ot
_same: sA,Am
_sample: s&,&m:p0,0l
_sampled: s&,&n:p0,0ld
_sampler: s&,&m:pl3
_samples: s&,&m:p0,0lz
_sampling: s&,&m:pl1,1ng
_sand: s&,&nd
_sandy: s&,&n:dE
_sat: s@,@t
_satin: s@:ti,in
_save: sA,Av
_saved: sA,Avd
_saves: sA:sA,Avz
_saw: s9
_say: sA
_saying: sA:1,1ng
_says: se,ez
_scale: sk9,9l
_scaled: sk9,9ld
_scales: sk9,9lz
_scaling: sk9,9l:l1,1ng
_scared: skA,Ard
_scarf: ska,arf
_scaring: skA,Ar:r1,1ng
_scene: sE,En
_scenes: sE,Ens
_scholar: sk9:l3
_scholars: sk9:l3,3z
_school: sko,ol
_schools: sko,ols
_science: sI:yi,ins
_sciences: sI,yi,in:si,iz
_scientific: sI:i,in:ti:fi,ik
_scientifics: sI:i,in:ti:fi,iks
_scientist: sI:yi,in:ti,ist
_scientists: sci:yi,in:ti,ists
_score: sk0,0r
_scored: sk0,0rd
_scores: sk0,0rs
_scoring: sk0,0r:r1,1ng
_scratch: skr@,@ch
_scream: skrE,Em
_screamed: skrE,Emd
_screaming: skrE:m1,1ng
_screams: skrE,Ems
_screen: skrE,En
_screens: skrE,Enz
_sea: sE
_seal: sE,El
_search: s3,3ch
_searched: s3,3chd
_searches: s3:chi,iz
_searching: s3:ch1,1ng
_seas: sE,Ez
_season: sE:zi,in
_seasoned: sE,zi,ind
_seasons: sE,zi,ins
_seat: sE,Et
_seats: sE,Ets
_second: se:ki,ind
_seconded: se:ki,ind
_seconds: se:ki,ins
_secret: sE:kri,it
_secretaries: se,ek:ri:tA,Ar:rE,Ez
_secretary: se,ek:ri:tA,Ar:rE
_secretarys: se,ek:ri:tA,Ar:rE,Ez
_secrets: sE:kri,its
_section: se,ek:shi,in
_sectioned: se,ek:shi,ind
_sectioning: se,ek:shi:n1,1ng
_sections: se,ek:shi,ins
_sector: se,ek:t3
_sectored: se,ek:t3,3d
_sectors: se,ek:t3,3z
_securities: si:ky3:ri:tE,Ez
_security: si:ky3:ri:tE
_securitys: si:ky3:ri:tE,Ez
_sed: se,ed
_see: sE
_seed: sE,Ed
_seeded: sE:di,id
_seeding: sE:d1,1ng
_seeds: sE,Eds
_seeing: sE:1,1ng
_seek: sE,Ek
_seeks: sE,Eks
_seem: sE,Em
_seemed: sE,Emd
_seems: sE,Ems
_sees: sE,Es
_select: su:le,ekt
_selected: su:le,ek:ti,id
_selecting: su:le,ek:d1,1ng
_selection: su:le,ek:shi,in
_selections: su:le,ek:shi,ins
_selects: su:le,ekts
_self: se,elf
_sell: se,el
_sells: se,els
_senate: se,en:ni,it
_senates: se,en:ni,its
_senator: se:ni:t3
_send: se,end
_sends: se,ends
_senior: sE,En:ny0,0r
_seniority: sE,En:ny0,0r:ri:tE
_seniors: sE,En:ny0,0rs
_sense: se,ens
_sensed: se,ensd
_senses: se,en:si,is
_sent: se,ent
_sentence: se,en:ti,ins
_sentenced: se,en:ti,insd
_sentences: se,en:ti,in:si,iz
_sentencing: se,en:ti,in:s1,1ng
_separate: se:p3:rA,At
_separated: se:p3:rA:ddi,id
_separates: se:p3:rA,Ats
_separating: se:p3:rA:dd1,1ng
